0,45,90,135,180,225,270,315,date
19500.0,8900.0,7800.0,6800.0,5900.0,4900.0,9000.0,8900.0,2019-11-03 11:20:00
3800.0,2900.0,7800.0,6800.0,5900.0,4500.0,1900.0,2000.0,2019-11-03 12:20:00
19500.0,8900.0,16700.0,6800.0,5900.0,4500.0,2400.0,7600.0,2019-11-03 12:50:00
19500.0,8900.0,7800.0,6800.0,5900.0,7900.0,9000.0,8900.0,2019-11-03 13:20:00
8000.0,8900.0,7800.0,6800.0,5900.0,7900.0,10400.0,10500.0,2019-11-03 13:50:00
8000.0,8900.0,7800.0,6800.0,5900.0,7900.0,10400.0,10500.0,2019-11-03 14:20:00
13400.0,6300.0,7800.0,6800.0,5900.0,7900.0,10400.0,10500.0,2019-11-03 14:50:00
8000.0,6300.0,7800.0,6800.0,5900.0,7900.0,9000.0,10500.0,2019-11-03 15:20:00
8000.0,610.0,5500.0,6800.0,5900.0,4900.0,6500.0,10500.0,2019-11-03 15:50:00
,,,,,,,,2019-11-04 05:20:00
,,,,,,,,2019-11-04 05:50:00
8000.0,8900.0,7800.0,6800.0,5900.0,7900.0,10400.0,10500.0,2019-11-04 06:20:00
7800.0,8900.0,16700.0,4200.0,5900.0,7900.0,10400.0,10500.0,2019-11-04 06:50:00
8000.0,8900.0,7800.0,4200.0,5900.0,7900.0,10400.0,10500.0,2019-11-04 07:20:00
7800.0,8900.0,7800.0,4200.0,5900.0,7900.0,10400.0,10500.0,2019-11-04 07:50:00
7800.0,8900.0,7800.0,4200.0,4000.0,4900.0,9000.0,8900.0,2019-11-04 08:20:00
3800.0,8900.0,7800.0,4200.0,5900.0,2900.0,2400.0,3800.0,2019-11-04 08:50:00
2100.0,2900.0,5500.0,6800.0,5900.0,7900.0,6500.0,3800.0,2019-11-04 09:20:00
3800.0,8900.0,7800.0,4200.0,5900.0,4900.0,9000.0,3800.0,2019-11-04 09:50:00
8000.0,8900.0,7800.0,4200.0,5900.0,4900.0,9000.0,8900.0,2019-11-04 10:20:00
3800.0,8900.0,7800.0,4200.0,5900.0,7900.0,9000.0,3800.0,2019-11-04 10:50:00
3800.0,8900.0,7800.0,4200.0,5900.0,7900.0,9000.0,3800.0,2019-11-04 11:20:00
3800.0,8900.0,7800.0,3500.0,5900.0,7900.0,9000.0,3800.0,2019-11-04 11:50:00
3800.0,2900.0,3300.0,4200.0,5900.0,4500.0,6500.0,3800.0,2019-11-04 12:20:00
3800.0,2900.0,3300.0,4200.0,4700.0,3800.0,6500.0,3800.0,2019-11-04 12:50:00
3800.0,2900.0,7800.0,4200.0,4700.0,4500.0,7500.0,3800.0,2019-11-04 13:20:00
2100.0,2900.0,7800.0,4200.0,4700.0,4500.0,9000.0,7600.0,2019-11-04 13:50:00
3800.0,8900.0,7800.0,4200.0,4700.0,4900.0,9000.0,8900.0,2019-11-04 14:20:00
