0,45,90,135,180,225,270,315,date,hour,PC1_0_h,PC2_0_h,PC3_0_h,PC4_0_h,PC5_0_h,PC1_45_h,PC2_45_h,PC3_45_h,PC4_45_h,PC5_45_h,PC1_90_h,PC2_90_h,PC3_90_h,PC4_90_h,PC5_90_h,PC1_135_h,PC2_135_h,PC3_135_h,PC4_135_h,PC5_135_h,PC1_180_h,PC2_180_h,PC3_180_h,PC4_180_h,PC5_180_h,PC1_225_h,PC2_225_h,PC3_225_h,PC4_225_h,PC5_225_h,PC1_270_h,PC2_270_h,PC3_270_h,PC4_270_h,PC5_270_h,PC1_315_h,PC2_315_h,PC3_315_h,PC4_315_h,PC5_315_h,PC1_0_s,PC2_0_s,PC3_0_s,PC4_0_s,PC5_0_s,PC1_45_s,PC2_45_s,PC3_45_s,PC4_45_s,PC5_45_s,PC1_90_s,PC2_90_s,PC3_90_s,PC4_90_s,PC5_90_s,PC1_135_s,PC2_135_s,PC3_135_s,PC4_135_s,PC5_135_s,PC1_180_s,PC2_180_s,PC3_180_s,PC4_180_s,PC5_180_s,PC1_225_s,PC2_225_s,PC3_225_s,PC4_225_s,PC5_225_s,PC1_270_s,PC2_270_s,PC3_270_s,PC4_270_s,PC5_270_s,PC1_315_s,PC2_315_s,PC3_315_s,PC4_315_s,PC5_315_s,PC1_0_v,PC2_0_v,PC3_0_v,PC4_0_v,PC5_0_v,PC1_45_v,PC2_45_v,PC3_45_v,PC4_45_v,PC5_45_v,PC1_90_v,PC2_90_v,PC3_90_v,PC4_90_v,PC5_90_v,PC1_135_v,PC2_135_v,PC3_135_v,PC4_135_v,PC5_135_v,PC1_180_v,PC2_180_v,PC3_180_v,PC4_180_v,PC5_180_v,PC1_225_v,PC2_225_v,PC3_225_v,PC4_225_v,PC5_225_v,PC1_270_v,PC2_270_v,PC3_270_v,PC4_270_v,PC5_270_v,PC1_315_v,PC2_315_v,PC3_315_v,PC4_315_v,PC5_315_v,var_0_lap,var_0_sobelx,var_0_sobely,var_45_lap,var_45_sobelx,var_45_sobely,var_90_lap,var_90_sobelx,var_90_sobely,var_135_lap,var_135_sobelx,var_135_sobely,var_180_lap,var_180_sobelx,var_180_sobely,var_225_lap,var_225_sobelx,var_225_sobely,var_270_lap,var_270_sobelx,var_270_sobely,var_315_lap,var_315_sobelx,var_315_sobely
3800.0,6300.0,2900.0,6800.0,5900.0,7900.0,10400.0,3800.0,2019-12-10 08:20:00,8,-0.7004226,-3.499318,3.612884,-1.1256226,-1.0943309,0.44746652,-2.7437837,4.904704,-0.77066207,-1.5810356,-0.40718552,-1.2677045,5.0810466,1.4006771,-3.8458998,-0.46496642,-1.6016244,4.7048826,0.29525745,-2.0304604,1.1175798,-2.702666,3.52609,-1.3947401,-0.7158714,-0.99876356,-1.5645709,4.297576,-2.7941456,-1.1649624,-1.7418326,0.20806175,4.6646867,-2.2032757,3.145872,-0.7940454,-1.2544067,3.9921489,-1.4436487,1.9570123,-7.772428,3.2857554,-4.221013,-4.345132,-2.2065187,-6.9059653,5.58453,-0.8243397,-4.23804,1.0179085,-6.342007,6.93791,-1.961547,2.4443412,-2.3114653,-5.931642,5.4291677,-1.1505868,1.0465922,0.25524667,-3.6403558,6.812797,-4.110636,2.915398,1.3785731,-4.5080185,6.9764094,3.636838,2.0123239,1.9587746,-8.3205595,5.271136,-0.3805292,-5.3319945,-2.274564,-8.1720705,2.8463924,0.4148655,-6.0304523,-1.5599799,13.154593,-7.308154,12.479083,-3.8744373,-3.4964323,14.914169,3.3076138,12.451649,3.2306283,4.376425,-12.536623,1.5728977,7.621896,-1.0307871,2.4723773,12.109305,-3.3009667,0.81144625,-2.158962,-1.2916772,15.463046,8.421246,-1.6869498,4.1315475,-2.5556443,-11.41262,8.308029,-4.1578383,-2.3085823,-5.906496,13.16599,13.092641,-6.160764,1.3380746,2.0417407,-12.655697,11.990424,3.5986888,-5.653828,-1.2918185,161.66167243962963,75291.26278669345,306379.8481329879,396.57869834376197,167733.57915024867,746194.366350585,446.1724951589744,196954.681042169,746380.2375975678,689.1586459638409,624224.390167119,857633.8468845321,648.668091308806,549129.3549875948,954920.4323905314,473.1590087595727,235380.8880056746,828450.3488224166,358.7628283891784,166617.0665831281,643893.0531275696,118.59306197331622,17981.61960371697,263637.47548998974
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-12-04 10:50:00,10,-1.2569622,-0.5570756,0.5192944,1.5016721,2.4922833,-1.2352035,-0.6208649,-0.19069055,1.2657771,0.9507804,-1.2502726,-0.6513314,-1.8072798,-0.9134366,0.67369366,-2.0044696,0.8312816,-1.98415,-2.8680038,2.4400523,0.13627678,-1.3900331,-1.646709,-2.4280272,1.3919019,-1.6064041,-3.2984312,-1.8576514,1.0996126,-5.2718616,-1.53368,-1.5258746,0.16320309,0.16462153,0.62604,-1.5347866,-1.9012194,0.40843046,-0.6208784,-1.6475501,-3.9481661,-1.5396742,2.1260185,8.59763,0.036416788,-4.4314976,-0.9042675,0.48717195,4.880571,-0.07276279,-3.3024862,-1.8720018,0.8175137,-2.6888008,3.3117526,-4.4293647,-1.3270758,3.6505263,-4.5087337,0.7105267,-5.317932,1.9743026,1.9914304,0.78921264,0.8818411,-4.2147183,0.60037124,-1.56983,-0.45594427,-0.36798832,-5.82675,1.3901715,1.3159661,-0.50882375,-3.0959136,-5.775243,-3.5444462,-0.6090046,7.0753183,-3.5593169,2.105094,0.05094367,-11.182473,-2.0508895,6.110933,2.732519,-4.4152226,-4.5948253,-5.439662,-2.8029885,1.6777135,-3.9864109,-5.8172145,-1.3201678,2.9743938,-4.204696,0.027750101,0.23049198,-2.2063446,0.86457187,-6.053694,2.3753474,-1.3727535,-2.413309,2.3095205,3.0970454,-2.3316054,-1.3771037,1.5311081,0.66337955,2.4444892,-9.372618,-3.201779,1.2063831,-2.3973544,-2.5654995,-7.9750485,-5.858713,0.7355171,5.073535,252.50629462722964,147289.1886303024,466436.7044345868,521.4817292647803,245068.10746238957,1030100.8668872768,318.1676625188599,149362.56881450088,557733.0282517844,478.0331023067437,721225.1436224398,558841.1917838134,498.7295905529409,670715.7417459901,812191.5164711489,215.88167665139648,169392.00217703902,346340.1928525667,383.11913113812096,170090.6532928373,633796.7700516507,187.55555118326697,39490.09326796217,287523.72792365856
19500.0,8900.0,16700.0,4200.0,5900.0,7900.0,10400.0,14500.0,2019-11-27 09:20:00,9,-0.09787253,-1.017463,-2.311974,1.5796181,1.5082182,-0.5307776,-0.84096223,-2.355629,0.06521454,1.5851849,-1.5751156,-1.532083,-2.3178892,-0.7249664,1.2543813,-2.4555643,4.2621207,-2.5323813,6.716714,2.3360949,0.11519183,3.1592238,-4.923494,3.9868083,-1.5439588,-1.6129401,3.2015514,-3.3485293,1.3300366,2.969558,0.9638687,-1.6670036,0.47797126,0.7696596,-2.2969244,-0.7637975,0.39191616,0.059994623,-2.551872,-3.766982,0.5128316,-6.1517644,5.3916416,-2.3646698,-0.92167926,-2.5755548,-10.468692,5.1022134,5.276233,-2.1842687,-0.63112,-4.870472,2.436934,-2.672831,1.4341915,-1.6837244,-0.63203496,0.9745142,-3.4009466,-0.1435293,0.83142084,-2.841383,0.8897573,-1.8688389,-1.1911899,0.38959754,-4.762406,-3.2700975,-1.6979904,-1.0473634,0.553214,-3.978407,0.036979068,4.27717,0.17937605,5.2900934,-7.796091,0.6155309,4.241441,0.17678475,6.5633383,-7.1335735,5.879813,-1.9060197,-1.6759672,1.0676183,4.173202,3.6376338,4.2117653,-1.6191415,6.1545553,6.536727,6.192413,-0.95535547,-0.3695479,-0.08274292,-6.137745,9.585344,1.8790176,-10.110887,-2.7595084,4.875046,-2.0546312,-0.8249646,2.769434,-5.920774,3.2887542,-0.99056745,5.0737367,0.46668893,9.386984,7.349781,6.3242345,1.0233586,5.1234927,-6.367235,8.863994,0.16894154,-4.7025886,-1.2780252,250.47267741510467,144145.9358883054,356928.77745650755,579.2429117470815,324904.14795548766,825978.2377871984,434.56714153371223,267278.380643746,522110.5031314791,863.1269965165212,820606.0241634581,1040371.6040084058,853.7307338698375,694111.990012951,1312954.5854680783,584.1715752755372,452644.5366748307,720741.6940665984,588.3101745714414,413182.0255117085,724995.0807981568,236.16076581179772,53251.52544282334,371787.94079376484
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-12-15 13:50:00,13,0.466136,-1.2471291,-1.7116104,-0.0074305227,0.31547257,1.3425647,0.41480365,-3.3286233,-1.7634795,-0.55787134,3.5003374,-0.3654937,-2.2344184,3.4367778,-0.52746564,-0.5086734,0.7955056,-1.3226669,-2.826684,1.1772534,-2.4748359,-3.1506119,-0.15762576,-1.3734503,0.25036246,-1.4569963,-3.1833627,-1.9741166,-0.60829586,0.5896906,0.46544936,-3.8237512,-0.438879,2.7946296,1.4665406,-0.92142063,1.2275983,1.3547887,-1.9965715,-2.7762625,-5.4347935,-1.5236291,2.8347495,2.3431618,-0.84215516,-3.4372182,-3.8309932,1.9962118,4.3239427,-0.37173066,-3.3978848,-2.330891,1.4259819,-2.6254685,2.934099,-5.2874575,0.7722705,2.2819834,-3.6223965,1.3292193,-3.9489942,2.7114635,1.1513448,-2.5454974,-0.22991674,-2.9365563,-0.6757763,-0.91990304,-0.3976221,-0.40812963,-2.176615,-6.9248495,-1.652656,0.34936872,0.45521083,-4.7738676,-3.3332255,1.1159002,-0.84685326,-2.8041663,-4.0026445,-0.8962626,-4.724751,-4.0581865,3.870121,0.39538395,-0.13510816,2.129239,-5.512752,-2.6658242,-4.3157516,-1.61158,-0.44474804,1.9916844,-3.8340807,-5.0839124,0.5304653,-2.6132925,1.9896328,5.1029077,-9.645141,3.3305244,-1.3532325,0.6565449,-1.844562,10.595206,7.0742946,-2.2080688,2.4212024,7.8474317,-4.9918237,7.278303,-4.963804,-2.5413868,1.1907113,0.4532301,-5.4134436,-0.6994071,0.92462957,1.161485,492.8003313385579,172561.60604413986,732620.9218544435,608.8486722765707,217549.0580107716,1009997.6103754393,642.2782542401353,233103.788818278,995384.0068014838,703.8092609547728,757119.8383662291,808885.4233051005,654.6446812015718,680957.4444909584,846057.2069252082,293.64784959068555,179700.66428329077,498074.8914536045,470.0824832274163,142936.79768787028,671726.12274506,508.3322491625726,108913.35085849301,780114.2813374696
8000.0,30700.0,16700.0,6800.0,15800.0,7900.0,10400.0,10500.0,2019-11-02 14:20:00,14,-1.2083492,-1.9850928,5.6733937,1.0266572,1.4755862,-3.5083675,0.75484264,5.251093,6.046579,-1.266605,-2.0911198,-2.0719984,3.3681505,-1.7506769,0.1429559,-4.5841904,2.794586,3.9214613,-3.351874,-1.7743461,-4.87237,1.6031269,4.0166216,-4.364878,-1.5183252,-4.4986286,3.8431334,4.2475142,-2.3403242,0.620673,-4.6506724,3.980092,4.585525,-4.3947115,-2.9662719,-2.6195023,-2.010913,5.6770854,-5.0236273,-1.6542996,-3.5069447,2.7599032,-4.9225597,0.21771872,2.4517827,-5.501038,3.9663587,-2.5930333,-1.9592863,1.6731035,-4.5465016,3.7130013,-2.062488,2.0758054,-1.2086353,-4.5325975,3.1934814,-2.353764,1.4339125,0.32414806,-4.322471,3.3017426,-0.22486094,-1.7541212,-0.9939886,-3.7516365,3.6907573,-0.4358722,0.5613057,-1.1535004,-3.4887965,5.9248924,5.0434585,3.1106315,-0.27115455,-6.0223107,1.1928822,-2.4505997,3.7782383,-1.3963976,-7.4069834,-2.1193168,-0.3354911,3.8350623,-5.5682206,-9.747458,-6.7125516,0.56265634,6.224746,-0.45416152,8.008874,-8.188461,0.24124241,-0.95386326,-1.5288684,-4.7359157,3.567294,-2.0138893,-4.030908,1.7476841,-3.7600472,0.18705893,-7.1850433,-1.475997,-4.8426466,-1.1459596,-8.224063,-5.971161,1.8926687,-3.7604513,-3.548654,-1.6991078,-6.251953,4.4330587,2.3638148,-1.8027705,-10.381734,-1.5366992,0.79824877,2.5677443,122.18377676720426,76738.91521541233,231209.63545964882,180.36147661594885,99137.60429197949,331120.49959862744,121.43227815747677,49060.85756600867,217894.47658551438,305.704827347589,542972.1036627451,377251.3139531888,319.67661136708404,498145.10354823316,518900.3034760061,229.8590597816977,179331.58665218946,396814.26636117074,193.23399395909541,119235.9011644475,311458.84049320815,94.8219410327529,9978.733754706274,169198.21860543956
19500.0,8900.0,16700.0,6800.0,4700.0,4900.0,10400.0,10500.0,2019-11-13 12:50:00,12,-1.1469392,-2.0896554,0.88699603,1.5397955,1.4428477,-1.7609216,-1.9817492,2.0537307,1.9223491,1.3121835,-2.8570793,-2.5881307,2.173417,-2.581748,-0.0020079585,-1.5938447,0.18509838,4.027778,-1.4553196,3.2167084,-0.81951517,-5.8084974,0.88910764,0.10831207,-0.21005593,-1.55657,-2.2268853,0.6001207,0.005689027,-1.8787766,-1.2709999,-1.2158408,1.9011843,0.19644006,-1.0255798,-1.1925203,-2.4799583,0.73989177,0.08867848,-0.53588057,-1.4072504,11.603674,1.57194,-0.15609822,-0.3187781,-3.8359215,5.4384837,-0.645666,0.72458005,-2.6866984,-6.4775248,4.249473,-1.1017134,0.36010036,0.22258823,-6.3736324,6.8030024,-1.9672425,1.0220625,0.7858001,-4.8437724,7.245495,-3.3098629,0.8703854,0.81154114,-4.4105563,3.283284,-1.7897162,-0.82008225,-1.6820961,-1.8171774,6.372438,-0.60636026,4.3984637,4.972981,-4.559312,5.215949,0.9387716,-3.4939406,4.290092,-4.57031,-6.5876007,-1.473796,-3.2975187,-0.5927954,-9.253419,4.1504107,5.9606886,0.7349487,-5.0327907,10.874912,1.024694,7.5593324,-6.629294,-2.683062,-6.4823084,-13.102016,-0.27785072,-7.0761323,-1.2579098,-7.660774,13.648439,1.2863209,4.4568915,9.389149,-4.3555036,0.49639103,-3.1213748,8.054237,3.2825696,-1.5017478,7.4290204,-5.110944,3.7571993,6.1260724,3.0738723,-4.8328896,6.2920256,-4.4385657,1.323458,175.9918781496401,108275.10933661046,274565.19970406254,327.1223224510011,155531.5919930366,554297.9558981344,141.48118777493238,64663.193381377554,236228.18243339434,416.5762692888496,666199.6013741842,463793.625379461,326.67319299584307,531404.5495216997,444985.3624148645,305.6814129848392,222861.06321213362,409891.2188464946,283.0730351769903,181361.51527372183,423036.3054110191,107.53311624388313,14762.918713371084,167015.01609724876
8000.0,8900.0,16700.0,6800.0,5900.0,4900.0,10400.0,7600.0,2020-01-19 12:20:00,12,-1.61327,-0.4749281,2.7403238,1.453793,-1.0259773,-1.7484518,1.1460286,-0.21700725,-1.2656925,-0.24021259,-2.3448975,5.664768,-2.9394095,3.974918,-1.2136067,-4.099549,3.801225,-2.3413324,2.327708,-2.3152854,0.291788,-1.8833323,-0.6265683,-3.562991,1.548744,-0.70348394,1.8983932,1.9750738,0.15725152,-2.426092,-2.4579458,4.6592784,3.1170397,-1.8106769,1.2897365,-1.7910696,-0.67172676,0.11391902,-2.611432,-1.7035402,-4.41312,-1.3926992,0.29571584,-4.1858706,-1.3445408,-4.845022,-2.3207624,1.1437109,-0.9446522,-0.30926126,-5.106914,-1.5510621,2.2668424,-2.7160966,2.3120327,-6.0756755,0.72679424,4.019269,-4.9525676,1.4980357,-5.0992956,4.212961,0.9663817,-0.6196332,0.2770011,-4.2435465,4.4367127,-1.3160051,0.22149988,-0.5313298,-6.75555,1.804949,-0.48817888,-2.3369458,-2.3756905,-2.3326771,-2.1334414,0.50224274,-3.8010929,-4.0994287,-7.5535426,-1.9254832,4.9656577,5.6219635,-2.7982306,-11.1737385,-3.2520864,2.9884048,3.8761208,1.973471,9.39799,-5.304552,0.7505209,-1.8069009,4.479675,-5.4193606,4.4400043,-4.179668,0.70982796,0.7904043,11.668265,-3.023674,-5.634226,-10.32211,0.8989202,-15.006993,12.666217,5.137768,1.2103113,2.7352774,8.19231,-4.0093756,0.9423688,1.5987713,-2.8046412,5.9414635,-3.6470222,2.2985454,-3.560861,-4.6862283,155.0227284053979,86732.3156784121,257343.95172331497,324.41660615847013,130672.12772536778,560775.5401466491,299.19616938949304,99446.40145238464,475511.7157124351,521.6329488879359,647663.6429308916,515888.7745398049,613.5247760419779,595662.6530683096,826887.2819963532,686.7882762399253,383160.28534034564,995942.6044921225,514.2212462943353,218551.59030623062,775739.0157748669,110.11481092068722,11170.957517126399,155784.1056497554
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2020-01-18 08:50:00,8,-2.072787,0.7352588,2.46234,4.0403113,-1.2322153,-2.3561056,1.1719947,-0.822425,1.797393,0.24731311,-2.2117772,-2.619209,0.09781974,-2.081797,0.050956465,-2.4551039,0.757753,1.674433,-0.2809007,3.4905796,0.38442075,-6.8617573,-3.618807,4.386139,-4.0907097,-1.5198902,3.2266383,-2.347714,1.7145734,-1.9553002,-0.08558892,7.1401424,-7.183488,-0.49326545,-3.6705027,2.1076062,6.31316,-5.8054395,2.7189994,3.3088765,-1.4684577,-2.7056634,3.003213,6.4450164,0.25550568,-2.7596853,-1.3985147,-0.44877657,1.6759957,0.5098236,-6.6496067,1.643952,0.7787732,-0.8214324,0.45772302,-5.0963264,2.3550713,0.06889592,1.181361,-0.039583683,2.982808,-6.140297,-4.207514,-3.322467,-1.8335975,-0.79858303,-5.97892,-1.2832818,-0.4551467,0.016060295,3.9416628,-7.883359,0.9241828,1.9996233,2.1261683,5.09491,-4.870779,-1.6139722,6.4751654,6.2001452,-3.2888265,3.542058,-4.5593147,1.3277632,-2.0412476,-7.059518,-5.6556573,-5.6360145,-2.8091853,3.2541838,12.453697,-0.8112444,3.5073814,-3.5293906,0.83825195,-4.928496,-5.8729477,-1.4994186,-3.283534,4.9283805,-10.058504,0.52432066,0.49213707,1.5486095,-0.4029827,1.6117927,-17.266432,1.1284745,3.6197984,-5.7916512,0.37247145,-9.437497,3.3553689,2.2407067,4.5473466,5.015935,-3.4918432,-7.431485,-4.078324,-0.06037921,190.2023477864396,112818.54730814479,242462.05439891983,303.2367011255995,130297.32669045212,462048.2683909292,236.72034334184758,91221.18930539237,336995.9126201674,509.0621575050483,735359.482610684,557173.521534804,581.8146190015672,717673.0781075495,664885.5060808202,506.6087635030529,315566.0004825395,653966.508006926,398.09942318428364,179600.69295802002,545021.4419152761,185.34184111698642,48721.92172633547,222764.31109790885
3800.0,6300.0,22600.0,6800.0,5900.0,7900.0,10400.0,3800.0,2019-12-10 11:20:00,11,-1.6511617,-2.4909883,1.7558676,1.1744604,-0.110301785,-0.7949062,-3.2190733,1.2835944,-0.43991014,0.07219416,-0.24645437,-2.7116191,0.85386133,3.1321056,-1.8984638,-0.6976405,-2.0425258,1.9816328,4.7058992,-1.2078605,-5.9231577,1.0324961,3.5482943,-0.2380513,-5.572777,-3.5189817,0.79807925,0.680576,-0.6852014,-2.3938224,1.3573072,-3.9775333,-3.0015364,4.3363156,0.7872155,-0.5968154,-1.9192109,-1.1935859,0.89704335,1.8183566,-9.118207,0.51803666,1.9457735,0.7306294,0.5393767,-7.6554317,-0.016572684,1.2716318,0.12259835,-0.766251,-7.252951,3.3509188,0.37380975,-0.87932795,0.7319215,-6.229668,3.1492574,1.2382827,-2.399772,1.2226157,-5.8973927,3.1327572,3.549317,-2.0374062,-0.17780614,-5.0043435,0.29930213,-4.9074483,-2.0996053,-2.6783156,-1.9915841,-9.055687,-3.3497248,0.8111981,1.585004,-6.746538,-5.0197306,3.0630903,-2.3781888,0.11638671,-2.4355588,-1.4346462,1.1004286,1.7373579,-2.4298606,-0.8925522,0.6019571,2.0117655,-1.9346122,5.3191333,-5.6456857,2.7008321,-0.59690005,3.6976821,2.9949627,6.620304,-4.113064,2.2297182,0.554588,-0.63002324,7.4744377,5.278956,-0.18170553,-5.3810954,3.0284338,3.553099,4.51389,3.1065717,0.9155241,2.9972942,-3.2097585,-7.147075,2.2974014,4.0306315,4.8491054,1.0369247,-2.9133515,-0.29583302,7.3996806,-1.9949656,222.51497498660385,81172.73286459516,356186.3477751432,358.9710663447169,136648.23022725206,594368.90975206,386.3076547774515,131181.3674254458,603608.2472137816,634.6476933071287,575602.4342272877,663521.4739205032,623.2644590475685,477581.2489366668,807804.1851089326,234.1582811684932,125921.6316786598,356346.3762262047,295.4987131877761,112812.26596071916,427668.57286832714,169.94126577824719,16122.631416498478,264876.42022832483
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-12-01 11:20:00,11,-1.1170424,4.004427,-4.661925,-0.30333707,0.4680594,-1.8405101,1.7042483,-6.6083817,0.5412091,-1.1831048,-0.19805574,-0.7984263,-8.009825,1.0962662,0.8194821,0.5301354,-0.6087413,-6.42918,-0.7042838,-1.2689214,-1.3641982,4.7554774,-2.596997,0.8925807,2.709131,2.2499192,-4.375979,-0.9910153,1.1557541,0.46970004,-0.15198556,-3.1762402,-1.8080932,1.8296046,1.0043577,-1.3652133,-0.7277902,-0.81814516,-1.5168505,-1.9268901,15.631384,1.004526,-4.9623327,-12.324862,5.4795475,13.27929,1.9130436,-0.57603747,-6.51198,-6.204814,12.906271,-3.4170182,-0.42659003,-0.34736663,-3.4924326,8.826082,-4.430884,0.302181,-0.7002699,-0.15431547,-3.1027157,-5.591003,6.4189715,-1.1829084,-0.61013323,-2.9725628,-1.6331359,-0.65400046,0.0042030024,1.2607694,-1.4684219,-4.536046,0.82259023,3.8316624,-1.1910143,2.8863006,-4.0534096,-2.3343844,7.5670185,-1.7683145,5.982675,12.021436,-2.8012173,-1.0341704,0.8375522,6.6836557,4.309693,-10.367417,1.7709528,1.1777824,-2.7816062,0.9182087,-12.040313,-5.4666185,2.7541478,-5.2186856,3.1154752,-1.841721,4.0195446,-1.7953606,-9.095163,1.049765,4.4053626,0.3052501,0.0420523,5.5083203,4.905466,1.270267,0.1267704,-2.2222173,-4.747444,-10.092329,1.980696,0.061250683,2.0219753,1.4878368,-0.2995234,-12.834121,-2.8377073,5.345021,201.79823374260002,126763.23805676677,306270.05508126767,436.5311472706968,255207.5570235828,712098.3529968074,458.19074894207375,352414.0126032849,584558.7603091162,705.7091660752866,934176.8579620465,699938.0939560967,668.2706189000194,708422.3721602148,1140926.6328421105,260.56141488470803,195563.91722041098,463767.1879058296,224.23067950525603,173151.33905874714,295979.2444247912,149.6249768306407,47249.61725911804,208892.44038304497
